run_dir,file,id,ok,anchor,token_count,unique_tokens,repetition,char_length,alpha_ratio,has_digit,has_punct,avg_token_len,length_bin,has_braces,has_result
2025-09-09_23-54-29,tsce_agent_demo/results/2025-09-09_23-54-29/results_tsce.jsonl,1,True,qvthric xrvane dkzlor thqvane vrqen xrlith qvdkz xrvith lorthic vqzric qvthqen,11,11,0.0,78,0.8717948717948718,False,False,6.181818181818182,<=20,False,False
2025-09-09_23-54-29,tsce_agent_demo/results/2025-09-09_23-54-29/results_tsce.jsonl,2,True,qvthlqz xrfvdkj jxqvthg lqzvrcp vqkzjth gkzqvnl jxqvplm vqzthqk lqvthqj xqvdklt jxqvplq vqzqvnl gkzqvpl jxqvthg lqzqvnl xrfvdkj,16,14,0.125,127,0.8818897637795275,False,False,7.0,<=20,False,False
2025-09-09_23-54-29,tsce_agent_demo/results/2025-09-09_23-54-29/results_tsce.jsonl,3,True,qvthxk vqzjrc lqvthg jxkqen rjvane,5,5,0.0,34,0.8823529411764706,False,False,6.0,<=20,False,False
2025-09-09_23-54-29,tsce_agent_demo/results/2025-09-09_23-54-29/results_tsce.jsonl,4,True,qwertyui asdfghjk lkjhgfds zxcvbnmq poiuytre asdfghjkl qwertyuiop mnbvcxzlk jhgfdsqw rtyuiopq asdfghjklm qwertyuiopz xcvbnmasd qwertyuiopx asdfghjklq zxcvbnmnb qwertyuiopm,17,17,0.0,171,0.9064327485380117,False,False,9.117647058823529,<=20,False,False
2025-09-09_23-54-29,tsce_agent_demo/results/2025-09-09_23-54-29/results_tsce.jsonl,5,False,qwertyui asdfghjk lkjhgfds zxcvbnmq poiuytrew qwertyui asdfghjk lkjhgfds zxcvbnmq poiuytrew,10,5,0.5,91,0.9010989010989011,False,False,8.2,<=20,False,False
2025-09-09_23-54-29,tsce_agent_demo/results/2025-09-09_23-54-29/results_tsce.jsonl,6,True,qwertyuiopasdfghj klmnopqrstu vwxyzabcdefg hijklmnopqrs tuvwxabcdefg hijklmnoqrst uvwxyzabcde fghijklmnopqrs tuvwxabcdefg,9,8,0.11111111111111116,121,0.9338842975206612,False,False,12.555555555555555,<=20,False,False
2025-09-09_23-54-29,tsce_agent_demo/results/2025-09-09_23-54-29/results_tsce.jsonl,7,True,qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnqw asdfghjkq qwertyuiop asdfghjkl zxcvbnmnb qwertyuiq asdfghjklm zxcvbnmlo qwertyuiopz asdfghjklq zxcvbnmloq,16,16,0.0,159,0.9056603773584906,False,False,9.0,<=20,False,False
2025-09-09_23-54-29,tsce_agent_demo/results/2025-09-09_23-54-29/results_tsce.jsonl,8,True,qvthxk vqzjrc lqvthg jxqvne kxqvra zqvthg,6,6,0.0,41,0.8780487804878049,False,False,6.0,<=20,False,False
2025-09-09_23-54-29,tsce_agent_demo/results/2025-09-09_23-54-29/results_tsce.jsonl,9,False,gqvthqz rjvexkz lqvthqk dkrqvne xzqvthk jxqvren vqzthqk lqvthqz rjvexkz dkrqvne xzqvthk jxqvren vqzthqk lqvthqz,14,8,0.4285714285714286,111,0.8828828828828829,False,False,7.0,<=20,False,False
2025-09-09_23-54-29,tsce_agent_demo/results/2025-09-09_23-54-29/results_tsce.jsonl,10,True,qvthric vxnolqen dkzvane rqthlor vrqenith xrvithan qvdkzane thqvane lorthqen vqzithan,10,10,0.0,85,0.8941176470588236,False,False,7.6,<=20,False,False
